No,s1,s2,ratings
1,"Cord is strong, thick string.","A smile is the expression that you have on your face when you are pleased or amused, or when you are being friendly.",0.16
2,A rooster is an adult male chicken.,A voyage is a long journey on a ship or in a spacecraft.,0.09
3,Noon is 12 o'clock in the middle of the day.,"String is thin rope made of twisted threads, used for tying things together or tying up parcels.",0.2
4,Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.,"A furnace is a container or enclosed space in which a very hot fire is made, for example to melt metal, burn rubbish or produce steam.",0.63
5,An autograph is the signature of someone famous which is specially written for a fan to keep. ,"The shores or shore of a sea, lake or wide river is the land along the edge of it.",0.09
6,An automobile is a car. ,"In legends and fairy stories, a wizard is a man who has magic powers.",0.26
7,A mound of something is a large rounded pile of it.,"A stove is a piece of equipment which provides heat, either for cooking or for heating a room.",0.26
8,A grin is a broad smile. ,An implement is a tool or other piece of equipment.,0.08
9,An Asylum is a psychiatric hospital.,Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.,0.09
10,An Asylum is a psychiatric hospital.,A monk is a member of a male religious community that is usually separated from the outside world.,0.34
11,"A graveyard is an area of land, sometimes near a church, where dead people are buried. ",If you describe a place or situation as a madhouse you mean that it is full of confusion and noise.,0.32
12,Glass is a hard transparent substance that is used to make things such as windows and bottles.,A magician is a person who entertains people by doing magic tricks.,0.12
13,A boy is a child who will grow up to be a man. ,A rooster is an adult male chicken.,0.72
14,"A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable. ","A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.",0.48
15,A monk is a member of a male religious community that is usually separated from the outside world. ,A slave is someone who is the property of another person and has to work for that person.,0.38
16,An Asylum is a psychiatric hospital. ,A cemetery is a place where dead people's bodies or their ashes are buried.,0.42
17,The coast is an area of land that is next to the sea. ,A forest is a large area where trees grow close together.,0.34
18,A grin is a broad smile. ,A lad is a young man or boy.,0.14
19,"The shores or shore of a sea, lake or wide river is the land along the edge of it. ",Woodland is land with a lot of trees.,0.42
20,A monk is a member of a male religious community that is usually separated from the outside world. ,"In ancient times, an oracle was a priest or priestess who made statements about future events or about the truth.",0.61
21,vA boy is a child who will grow up to be a man. ,A sage is a person who is regarded as being very wise.,0.35
22,An automobile is a car. ,"A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.",0.21
23,A mound of something is a large rounded pile of it. ,"The shores or shore of a sea, lake or wide river is the land along the edge of it.",0.29
24,A lad is a young man or boy.,"In legends and fairy stories, a wizard is a man who has magic powers.",0.27
25,A forest is a large area where trees grow close together. ,"A graveyard is an area of land, sometimes near a church, where dead people are buried.",0.4
26,Food is what people and animals eat. ,A rooster is an adult male chicken.,0.44
27,A cemetery is a place where dead people's bodies or their ashes are buried. ,Woodland is land with a lot of trees.,0.31
28,"The shores or shore of a sea, lake or wide river is the land along the edge of it. ",A voyage is a long journey on a ship or in a spacecraft.,0.23
29,"A bird is a creature with feathers and wings, females lay eggs and most birds can fly. ",Woodland is land with a lot of trees.,0.18
30,The coast is an area of land that is next to the sea. ,A hill is an area of land that is higher than the land that surrounds it.,0.53
